Model,Strategy,InitialBankroll,FinalBalance,Profit,ProfitLossPercent
logistic_regression,Intelligent Kelly,3420.0,4424.990619628333,1004.9906196283328,29.38569063240739
logistic_regression,Intelligent Kelly,3800.0,4916.656244031481,1116.656244031481,29.385690632407396
logistic_regression,Kelly,380.0,328.80000000000007,-51.19999999999993,-13.473684210526299
logistic_regression,Kelly,760.0,657.6000000000001,-102.39999999999986,-13.473684210526299
logistic_regression,Kelly,1140.0,986.4000000000001,-153.5999999999999,-13.473684210526308
logistic_regression,Kelly,1520.0,1315.2000000000003,-204.79999999999973,-13.473684210526299
logistic_regression,Kelly,1900.0,1644.0,-256.0,-13.473684210526315
logistic_regression,Kelly,2280.0,1972.8000000000002,-307.1999999999998,-13.473684210526308
logistic_regression,Kelly,2660.0,2301.6000000000004,-358.39999999999964,-13.4736842105263
logistic_regression,Kelly,3040.0,2630.4000000000005,-409.59999999999945,-13.473684210526299
logistic_regression,Kelly,3420.0,2959.2,-460.8000000000002,-13.47368421052632
logistic_regression,Kelly,3800.0,3288.0,-512.0,-13.473684210526315
random_forest,Flat Prediction,380.0,349.6159344978398,-30.384065502160183,-7.995806711094786
random_forest,Flat Prediction,760.0,699.2318689956796,-60.76813100432037,-7.995806711094786
random_forest,Flat Prediction,1140.0,1048.847803493526,-91.15219650647396,-7.995806711094207
random_forest,Flat Prediction,1520.0,1398.4637379913593,-121.53626200864073,-7.995806711094786
random_forest,Flat Prediction,1900.0,1748.0796724892043,-151.9203275107957,-7.9958067110945095
random_forest,Flat Prediction,2280.0,2097.695606987052,-182.3043930129479,-7.995806711094207
random_forest,Flat Prediction,2660.0,2447.3115414848803,-212.6884585151197,-7.995806711094726
random_forest,Flat Prediction,3040.0,2796.9274759827185,-243.07252401728147,-7.995806711094786
random_forest,Flat Prediction,3420.0,3146.5434104805695,-273.4565895194305,-7.99580671109446
random_forest,Flat Prediction,3800.0,3496.1593449784086,-303.8406550215914,-7.9958067110945095
random_forest,Half-Kelly,380.0,223.0,-157.0,-41.31578947368421
random_forest,Half-Kelly,760.0,446.0,-314.0,-41.31578947368421
random_forest,Half-Kelly,1140.0,669.0000000000002,-470.9999999999998,-41.31578947368419
random_forest,Half-Kelly,1520.0,892.0,-628.0,-41.31578947368421
random_forest,Half-Kelly,1900.0,1115.0,-785.0,-41.31578947368421
random_forest,Half-Kelly,2280.0,1338.0000000000005,-941.9999999999995,-41.31578947368419
random_forest,Half-Kelly,2660.0,1560.9999999999995,-1099.0000000000005,-41.31578947368423
random_forest,Half-Kelly,3040.0,1784.0,-1256.0,-41.31578947368421
random_forest,Half-Kelly,3420.0,2007.0,-1413.0,-41.31578947368421
random_forest,Half-Kelly,3800.0,2230.0,-1570.0,-41.31578947368421
random_forest,Intelligent Half-Kelly,380.0,257.9719679665064,-122.02803203349362,-32.11264000881411
random_forest,Intelligent Half-Kelly,760.0,515.9439359330128,-244.05606406698723,-32.11264000881411
random_forest,Intelligent Half-Kelly,1140.0,773.9159038995197,-366.08409610048034,-32.11264000881406
random_forest,Intelligent Half-Kelly,1520.0,1031.8878718660255,-488.11212813397447,-32.11264000881411
random_forest,Intelligent Half-Kelly,1900.0,1289.8598398325328,-610.1401601674672,-32.11264000881406
random_forest,Intelligent Half-Kelly,2280.0,1547.8318077990393,-732.1681922009607,-32.11264000881406
random_forest,Intelligent Half-Kelly,2660.0,1805.8037757655454,-854.1962242344546,-32.11264000881408
random_forest,Intelligent Half-Kelly,3040.0,2063.775743732051,-976.2242562679489,-32.11264000881411
random_forest,Intelligent Half-Kelly,3420.0,2321.747711698559,-1098.2522883014408,-32.11264000881406
random_forest,Intelligent Half-Kelly,3800.0,2579.7196796650655,-1220.2803203349345,-32.11264000881406
