Feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
OddsDifference_HvD,0.2044986236607659,0.007297941042722445,0.001797654050847274,0.03822242090932024,0.0023367918143103877,0.011842067776338417,0.03572568241126518,0.003565186348581996,0.038554039167493684,0.08372558931367238,0.023799005214975327,0.02685023051097293,0.06435407227044564,0.2951188939990429,0.004337206836010877,0.06620951007236016,0.0017198998271791852,0.1137201139487923,0.032320093780105016,0.1061223131871627,0.05268603484616984,0.05055520259610042,0.06627698273503647,0.03203530020310239,0.013771362490715517,0.01789745971664232,0.07916984077761742,0.04791833947714499,0.031237129129375076,0.003543853276834078,0.016310616611691288,0.19413385434035407,0.08786982668483025,0.0003879908982069352,0.25741419311337355,0.3470958973009891,0.039652856511588216,0.005307669348377736,0.04495615632462418,0.16702136159895478,0.12239787705056397,0.014893525322449716,0.017281567144411255,0.0041701993432009836,0.009140171695840185,0.00039906172366502155,0.0007116317624544675,0.00018815259849853166,0.000496020731109641,0.027012507269608778,0.1443652787863795,0.05746530896839442,0.031219719741080343,0.1917427814027494,0.2931488313419141,0.043566905955589014,0.05047949244598358,0.6092082018083267,0.006948651277898016,0.0061531892002432325
OddsDifference_AvD,0.19871800660071695,0.009310335519644272,0.02168283806590923,0.11970104809099628,0.0324774164654454,0.0319373438823074,0.008222860120638296,0.0003082595651440689,0.08867554420035141,0.10215879844803176,0.010728358049062438,0.03063586416405903,0.003935056421962428,0.27906288689729986,0.02541833247853264,0.06726072372087873,0.03376777895825341,0.1452776907558926,0.04027660780006203,0.0524675261359924,0.10115129768936175,0.00035127607081519114,0.016837125628065403,0.0599438423479164,0.019381660872015923,0.03987727341419273,0.045120768895960464,0.020363901666689447,0.023210208072976125,0.05993509822546835,0.01722507681602494,0.28297674449899807,0.17782530922223905,0.04707710826861719,0.22798393286063157,0.2505287611950403,0.040141996108353104,0.029804686577529077,0.06021576994852406,0.34870819340421405,0.046801215951853846,0.025309886628040252,0.021106761697609916,0.009491274790014683,0.009974836602834472,0.006508058879213794,0.0016766514672765865,0.000887329709109952,0.0005200631724909671,0.14876836047375486,0.14416885599614612,0.044306469667124086,0.150871229419407,0.20837117474216668,0.24502330925814386,0.1010589702173031,0.17361211791676753,0.03378923943132022,0.15178388696408252,0.44268885819269194
DrawLikelihood,0.08927760181809218,0.17115060888731456,0.0536574764776421,0.4191762510823202,0.1463369990502478,0.004132047991843388,0.00869680764422942,0.032444161229206465,0.0015027988302709616,0.07079378426300581,0.06648085681201817,0.030490828879233357,0.06841666770624646,0.14222282807106695,0.007260776143174,0.03844668978782499,0.04350076944346977,0.0323134848621218,0.007552661717007906,0.01591555279273805,0.07743634865036549,0.0014530460011555155,0.008697621223369471,0.022323703418737007,0.008624228980187273,0.008592039530095859,0.017563421805774124,0.0173075255756388,0.0389135448679995,0.02893528904961901,0.017182524858192334,0.27346934142311163,0.2050250617054209,0.05693708196384694,0.027691170276375916,0.11609666536530741,0.01856802925042298,0.016459185937284133,0.015721363887670498,0.1579381181942534,0.19451118695838082,0.02227403079816565,0.03425523362598793,0.005924408263700406,0.017699390377702563,0.0013907099002647082,0.005791702771339133,0.7100685143703674,0.08581442138838315,6.977252988254167e-13,4.584942323091645e-13,1.8929519285981274e-13,8.995724824354661e-14,1.1178752558054425e-13,3.3541330848172816e-13,9.18236592606459e-14,1.167611864295423e-12,3.334714043177871e-13,9.898765950223515e-13,2.450643213457221e-13
HomeForm,0.1049539951120649,0.1648420146123859,0.018276178411385128,0.07098789820222513,0.18680655113024905,0.05036095474920565,0.006388397916974571,0.17590699818157995,0.15995098594053206,0.33990032254675817,0.1529813957371255,0.1460201378718407,0.25441524172207486,0.008560168053223637,0.045223845120805274,0.08113305845609173,0.03258668274022251,0.30633313817030966,0.017440719357489535,0.29154092870982123,0.2829434187662799,0.07375433567622658,0.1412883441166658,0.0963700165357403,0.1363301688901247,0.130694234180984,0.10349493075289037,0.011257665169510524,0.03710611718761767,0.020261942556506155,0.10279686841376508,0.01910034921334602,0.015133129109260396,0.02499226483375352,0.012284593139266506,0.004470750204548192,0.009596159854785805,0.007202957366963124,0.003508793075453891,0.010637463921449316,0.015389277831308997,0.017281257858918656,0.023275016259713815,0.015512577951101706,0.0050881692516251825,0.5214246962828227,0.007320708490611026,0.0018111865057119179,0.0007783605148262028,1.635880847596435e-15,1.875180023871699e-15,8.781603648792388e-15,1.3177008489408548e-14,3.245596032300657e-14,9.682411921883935e-15,7.11079378888856e-15,3.564755143549803e-14,2.2037840245528767e-14,3.4617323919631076e-14,3.1486632392935214e-15
AwayForm,0.09616507922086434,0.16799452970337936,0.03480659628158473,0.15348050637954547,0.1759108873743765,0.048959424506057225,0.20767061657753003,0.020132308344592287,0.2734604946335641,0.15905791733600128,0.11200891184363637,0.18892275757421012,0.14733452012051643,0.11058147504453905,0.07447864341789896,0.01968047770542109,0.015218919383018503,0.10207463265208483,0.014373997648254087,0.3906208923721535,0.2532368819246141,0.15900478968764695,0.3133689543933129,0.09549934421982627,0.1480841074165624,0.13426410314265338,0.007418775706228778,0.08679648967980684,0.08679263829645886,0.02643942314390779,0.09137625644887729,0.025949977952052176,0.014616090737086425,0.00984257620666408,0.01339019938743609,0.001790449165537908,0.008529428042893713,0.01913583811716832,0.017616226339626607,0.004420446490670286,0.004702463630822682,0.03334226161441771,0.026276450383251826,0.017285243349159936,0.007577966900688073,0.4942192651692395,0.005648711866634906,8.392161381685384e-05,0.00040946319908352456,7.583244796544862e-17,1.819160623230053e-15,9.320807066016711e-15,1.4302373581815164e-14,2.8588759890108833e-14,9.62824157099291e-15,4.137403451594472e-15,3.3798258002017007e-14,1.7806949021265998e-14,2.9635203379066824e-14,3.731879133223705e-15
HomeAdvantageIndex,0.1473094561832266,0.005808045810278083,0.012478043825625515,0.05718823956302572,0.27326025528861136,0.006917648710766571,0.14669109169690284,0.14575171248746105,0.311932901276782,0.14301016358276727,0.19639216852442895,0.027690173531357797,0.29846783441688146,0.06867311547889884,0.019051029044180483,0.04684664019630176,0.01567699270580877,0.2950506671370928,0.02646126157559589,0.05706539808535686,0.027906495962371117,0.05298961998565923,0.11176635673577867,0.0031848478680852814,0.001575228244761894,0.0009023861776371996,0.0870249181646317,0.060072668244340245,0.04071221786052777,0.013710159468245026,0.009737518032034605,0.008377967844233518,0.020042882817282774,0.004480111225041973,0.006116440284641732,0.013813670287455929,0.003711396434576818,0.016666897798142868,0.014645341498672275,0.00868112971018945,0.00182788393654714,0.012616946105767728,0.01119358204146037,0.011896271424564666,0.00435410906886252,0.6939725583682292,0.009547688467489835,0.0009240544988588453,0.0007347012598312384,7.301084527157666e-17,1.778572915154088e-15,1.1553500957910236e-14,1.709504010089337e-14,4.237884879628471e-14,1.4564203261915554e-14,8.895263602641323e-15,4.89575556897393e-14,2.7228164246950067e-14,4.387368527011004e-14,3.790526302935137e-15
HomeGeneralForm,0.09742076375091027,0.18129255391199015,0.03570124787751046,0.03569027067217919,0.24486226622855659,0.1906925126152217,0.2617167383897684,0.0574204705143663,0.026632147410402405,0.024078650255164227,0.005176841803918952,0.031312936817450114,0.08741402337639194,0.006834003416283424,0.033462457508115134,0.03550530132962808,0.0874585558667678,0.0738419366161442,0.18183507223543408,0.09399284402498019,0.0963243535050673,0.13288636140948162,0.30289130886744525,0.09992374588749511,0.17164714690498936,0.4843578856229758,0.13760100556062163,0.0811782188577449,0.10378827303060634,0.02483684996013736,0.08754567409372208,0.04583623033769177,0.05545970737686092,0.01773353033270511,0.028060414467314047,0.03373345109718445,0.014135351592481178,4.786443985684141e-05,0.0003461111027682483,0.029102951754076983,0.0013695585141756518,0.021245243007116565,0.019312491114577186,0.011663293717108995,0.003288837147373608,0.003212962003931344,0.009559820247612368,0.063421505743816,0.5184081847206787,2.65623803898661e-13,1.9096129561200311e-13,1.1207906752428515e-13,4.61850509900163e-13,6.679725251057814e-13,2.76767200468134e-13,6.647864645624355e-13,6.602813099116628e-13,1.857466055396641e-13,2.408320985551758e-13,4.500681665362221e-13
AwayGeneralForm,0.08903144821939606,0.18911741715504093,0.042742703609753976,0.15813153552923515,0.1991485855457882,0.18319628737634888,0.020809017072627712,0.22605571612579137,0.0612304875921879,0.09379645725886454,0.08161225890571024,0.009920655788948279,0.03690843324170647,0.12444282665545135,0.06921551812558689,0.11354509418604275,0.01273238287371463,0.18890768631119312,0.28077183296527936,0.18483294762539604,0.1364902673637329,0.03807384687986493,0.13050566763234253,0.005569841245022845,0.047759561152156536,0.47155692558521417,0.16341261231506263,0.05002599412915199,0.10843936337759683,0.02004890939498798,0.08766076659272132,0.03663716211048746,0.07250357233706425,0.015559144209539244,0.033593462611368606,0.039929104134630716,0.0003266135691493123,0.0034472663279536855,0.010358330279580436,0.014562261054386178,0.0013582091341181348,0.02064837030528219,0.01122504916741124,0.010387572147445066,0.004132837791630576,0.0007957799813688675,0.0069567342276733645,0.06422547839632019,0.525784594088786,2.681170905594709e-13,1.944135336651845e-13,1.1184873234729773e-13,4.676895453834401e-13,6.783489120093847e-13,2.811540284757633e-13,6.76598557088273e-13,6.706756758174321e-13,1.881334599503767e-13,2.435461471334656e-13,4.57566886727321e-13
GeneralFormDifference,0.1470369290159901,0.008247309892702875,0.005722629786681828,0.09763038035254354,0.34929756894407693,0.004458080012020568,0.1880853552893724,0.1346902081263075,0.027919560893423505,0.05487505893962875,0.06036201200758209,0.03198399793360739,0.03944104096668578,0.10356633669690023,0.08028543992083978,0.06278113675281184,0.059133906363870906,0.20663154333684053,0.3654733240495877,0.21876839343883867,0.1840005394546967,0.13459386257749492,0.13261462267081123,0.07346937496160152,0.09776268349577014,0.004335142933890412,0.02121827219806911,0.022820566869594053,0.004721062088339599,0.03722871706356754,0.000812765625911871,0.008807202821173553,0.01411823232265031,0.0014288725549340725,0.007816103729593073,0.004050259749682843,0.008869115283204786,0.0025729100319798444,0.0117085613399567,0.009527601770947901,0.001268987795435315,0.001370857568701827,0.019079606568143306,0.00528588715773264,5.749811109193759e-05,0.0015895472941082778,0.011510013138421652,0.07909318598820637,0.6633878459832339,3.3582569969621205e-13,2.464583042091219e-13,1.4254873581637255e-13,5.904148373134296e-13,8.558786004532077e-13,3.550394543815964e-13,8.511463846517053e-13,8.488611534603902e-13,2.3746540571559894e-13,3.0591762487705227e-13,5.765211046276232e-13
AverageGoalsScoredAtHome,0.09915869307949407,0.17329324379890193,0.015089065373471048,0.006475886655730628,0.102235138489055,0.3155369161884094,0.16080128748451086,0.05614840562287902,0.13819958440429758,0.0895821817388602,0.13031052912382687,0.09047717078371496,0.09538224384084062,0.07076888798248722,0.0038731271660027325,0.10925689222943587,0.07396234842457745,0.02838958743738154,0.03026568394237027,0.03768451585094379,0.21492339373715608,0.1899736352825282,0.16549588637229506,0.00012905526460138566,0.16656536108187397,0.16786714199904168,0.5032021761194717,0.028981239471806395,0.13943727716009247,0.2088119203358799,0.45499324543846853,0.05729657309324372,0.07869137616775634,0.10422866434598144,0.0243068737715516,0.07909624270139005,0.10028508257343607,0.03125194554163182,0.027186472514317835,0.02459131374361032,0.051945095817528576,0.032857455344624274,0.023214349299378434,0.014505869551514413,0.006228828801081424,0.005528775943172449,0.003099615481158459,0.00019623061676469187,5.984846933612027e-05,5.42281390358287e-16,1.2685870202482217e-15,5.953977436287862e-16,9.141656469028447e-18,1.2343787023638925e-16,1.4322855889461978e-15,1.9686188831916534e-15,2.7566815890713807e-16,6.202622143785799e-16,1.433291367636912e-15,2.2781340052882827e-16
