RowNumber,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
11,4.617351732591872,-2.7523745156581603,-5.026587806335102,1.399901830066927,-2.3482697559174266,-3.8017172909069066,-0.8776942208961049,-1.120563315350102,1.114441530563008,-1.7950918368529107,1.0072118745570382,0.1041731941549493,1.0603049978525174,-0.1874965721018266,0.0802879695509574,0.23598518342262112,0.026847042498623352,-0.025851874404717094,0.17708404131804514,-0.717785052327732,0.49656468851841845,-0.4209257744137655,-0.5152352020840274,0.15473573807586838,-0.7305811177779823,0.7976185516434765,0.07102920253965513,-0.6178080881944576,-0.2757769419443722,0.03934567727840122,0.5436992446319121,0.9041563696239735,-0.15517987048002857,-0.14335112929530705,-0.44623103309302325,-0.16219771123611967,-0.16508602228428437,0.2073540185252819,-0.46720900955906564,-0.08743208194824355,0.061012095270408906,-0.08178313079896712,0.012677064679570183,-0.14077690749072896,-0.004974793566337513,0.04955342171619816,0.006538899689266813,-0.008752971668875712,0.00021492727085193296,5.221277405965068e-15,-4.389629973942913e-15,-1.9404074723309956e-15,4.145292355117308e-15,7.441643816098121e-17,-2.5010196718551715e-15,1.5779057913039626e-15,8.059369614749694e-16,-1.1872601590127017e-14,1.5511592282736753e-14,1.1833471774067078e-14
12,-1.3494138359783239,-6.074455945023273,-3.5836482357831705,0.3111716384463835,0.4596418968957911,-2.9830726217147774,-0.22924632613075588,-1.9494265292949957,0.871449699561921,-0.7466244414945065,0.8788866735070804,-0.6923469906306166,1.2612343917499973,-0.12303236781252427,0.7754695273989684,-0.329425797180289,0.4679132366412205,-0.2623309708603134,-0.041455536616240504,-0.6414044378122576,0.3582425349399378,-0.09864092725868265,-0.8506689281347877,0.38685672302974106,-0.5728885412175675,0.07967570363275947,0.34048946191282164,-0.3863738216373533,0.45766501506227714,0.19248726961316423,0.4155290159667407,0.2845510893413298,0.26368819241383407,-0.20764906217611417,-0.09956444255780693,0.32660880947380805,-0.06743726264917375,0.12969887455200577,0.1047601028251423,-0.11864069470344503,-0.022422770967911603,-0.05305645697785179,-0.05029780348738995,-0.07717717128346911,-0.010049927215144527,0.008671900395733404,0.0008632239826554446,-0.006860497396291667,0.0009904159520922882,4.693793924268006e-15,-4.437632384838666e-15,1.2524305719580242e-15,-2.071787959670686e-15,5.690600047880347e-16,-9.244504068880102e-15,8.263437320774505e-16,-1.1990146524544307e-14,-8.129134966102557e-15,1.0296372035053094e-14,2.8837527881595156e-15
13,-1.2470073673628472,-5.2529177277823145,-3.9043526420755468,0.19621984682067983,1.587542416400927,-3.162290613154176,-0.8647367860795022,-1.2854632017328382,0.9134573729583195,-1.0061427584283622,1.2825489631409865,-0.4871976263453777,1.329104490303762,0.29478001948117605,0.6479259091069663,0.39354087281619327,-0.10960458361813391,-0.52522667078307,0.06895227858823141,-0.24815865172753515,0.8378427453502983,-0.010293448185549057,-0.8723922448718682,0.5111407642277046,-0.5144969399239152,0.419435513483423,0.2751635475401791,0.2910649135497878,0.5506989581519812,-0.22648719823977415,0.3454375414469531,-0.04881076817858677,0.3034408325193659,-0.04470929148042881,0.38182753376391015,0.12612343022220804,0.017872281319447323,-0.08917545589963444,-0.28143998852659263,-0.11560381501663583,-0.03296336165136179,0.01461133549160959,0.08972708411821126,0.13298958353874854,-0.0507738242532904,0.006618379921062489,0.004131995079189291,-0.023068817731903175,0.006852973585543781,2.455443475686382e-14,-1.9639482028754025e-14,-4.709008866298821e-15,1.7284745791600651e-15,-1.606466642660774e-16,-1.270203442684147e-14,-3.2057989113283887e-16,-3.967407112495343e-14,-6.924014064386322e-15,3.037023409681677e-14,-4.3076344182702724e-16
14,1.3575908014877667,-4.815296161626436,-4.25904604750687,0.4612714107370796,-0.12160934346570358,-3.592419539575892,-0.4902427912350708,-0.824282838927764,1.2322889522089073,-1.222134977834141,1.14168020410897,-0.4911228935823604,1.3713208138261606,-0.05411949727917477,0.30773114334258533,0.23959030599435416,-0.8334249940892177,-0.3692030541806468,0.2553437682534687,-0.7288868399364902,0.44959563489021354,-0.21502906717233305,-0.49837109737135943,-0.09860986290651352,-0.6799196211918828,-0.11524653465065153,0.6660280274880646,0.3392526218086355,0.3797037264990627,-0.23513408351572562,0.25912616380925574,-0.0980160203729059,-0.7337786703971728,-0.11046055228765662,0.061942427988794985,0.01914776280013437,-0.25189879169829754,0.34908370452499426,-0.012249574112204542,-0.008547715904701911,-0.027469840631785095,-0.04387144380834582,-0.05659217401791491,0.09689705755056355,-0.034096666421525715,0.030755321974761798,0.015418610546476573,0.003056618461493495,0.00024580831109244925,-8.73062443241217e-15,2.1385905844837065e-15,3.596464057632735e-15,9.110461587728949e-16,1.9450065336497445e-15,4.3845092115558127e-16,-5.63399980575601e-16,8.567381793416103e-15,-9.246881608191535e-15,-4.572647443145677e-15,-1.6623278311335623e-15
15,-1.429281830644845,-6.426568693632774,-3.4655201015323365,0.5435573567768117,0.7841304178802826,-2.8866820027210194,-0.497070789796411,-1.7210184261372836,0.6194474201157079,-0.6506057287233288,0.9690132528719608,-1.1489280226976837,1.307895402449689,-0.19073466357659527,0.780592769702868,0.1593211879884032,-0.33323069081931567,-0.26580450013741,-0.15413415750525541,-0.39643503939181773,0.6654120806922371,-0.3288398857970818,-1.0830151297337052,0.7751422668281801,-0.4322266727427713,0.22971159716197984,-0.08631753251695257,0.07385934724127537,-0.09040050074410824,0.5207615532880584,0.42015824669459945,0.5359617798276591,0.6135674654899266,0.27224029485649054,0.15010888943328965,-0.05098778233329896,0.18027696080495414,-0.08750501381578646,-0.10843124101834055,-0.030273216415878393,-0.11205825939727823,0.03117301045462293,-0.07288303296312722,0.06463139662551469,-0.025607185515811436,0.016140780166424017,-0.013736501126775377,-0.01377050110531756,0.0039006034383736424,1.4864831011420993e-14,-8.813989962678445e-15,-4.283460822672429e-15,1.4829826597175555e-15,-8.613595573816368e-16,-8.409872515478746e-15,5.723807267566778e-15,-1.8934982651719797e-14,-3.2864912197837804e-15,1.9837825186396353e-14,-1.9914462027371366e-16
16,-6.498016443183612,-1.5596891752737552,-5.332384959596192,3.0137651171231803,1.0293567113751314,-4.252632410787112,1.1389034506401479,-1.4418621672816567,0.799495754527736,-0.6447877717356815,1.0106718087306283,0.45363958210351496,0.30779775248468744,0.7840115393785306,-0.05401834553097717,0.15240854688702718,0.4755827670323627,-0.7547106890741538,-0.5781081790927914,-0.259178059438697,0.5529105611696712,0.025101285805169207,-0.7813762556250702,0.9307461313780269,0.12378726445878813,0.5828755724563712,-0.2580614446375023,0.8858503476793498,0.4404438746205928,0.9398379832632447,0.4854484977640865,0.41832205583893567,-0.10566430140218533,0.05778924045353096,0.19153894212135122,0.2208171402361828,-0.17767103408450782,0.379917165770164,-0.054651924633284166,-0.2196637105585356,0.2556329984611605,-0.06595940757619788,0.03287965629292262,-0.031930303999069626,0.007701955690049776,-0.01480104035874247,-0.010175357878555289,0.006352197331047252,0.005548777426567528,-1.5024291143619855e-14,-1.2374915479943178e-15,9.147132185431389e-15,1.7731020852464516e-15,-1.008433844393847e-14,-1.3511137852516325e-15,1.0982660454612452e-14,8.859598282618544e-15,-3.556456048331188e-15,-8.162500253109634e-15,-1.8095077740922348e-17
17,2.7898821944416343,0.73056657906051,-6.512167177249975,0.6429702253422458,-0.7035932091038597,-5.386985919114216,0.9827743097563867,0.3545362832494127,1.5069689071993728,-3.336091447099649,0.9694952788560406,0.517576258680411,1.5907787793112482,-0.1836395159504558,-0.050494129618058374,0.3096332649747396,0.7097846287156665,0.09370598580286164,0.2151956513861995,-0.6105602709181155,0.1682754437042189,-0.33834371592322215,-0.04386308234495155,0.08893577286427905,-0.8026715023618989,0.30701143173885037,0.06257709319998528,0.6396546643940503,-0.22321051151919374,0.7099476657138749,0.6140671579335042,0.7817696368778304,-0.4669387861958494,-0.3978146744663933,0.148600764283012,-0.2477840676583383,-0.10461169072893713,0.3679418728054908,0.1998248295843618,-0.028104076553140872,-0.2660100516396457,0.08665968152102399,-0.09058124613746776,0.03480221880832623,0.025950037690959705,0.026083281866706613,-0.0003738720181916653,-0.007872960859060965,0.0005187189310781916,1.0110253684689754e-15,2.0116476047368186e-16,-5.845651769352084e-16,-4.177255283209305e-15,6.317308791029479e-16,-3.507533037084284e-15,5.679138308773489e-15,1.5723499963047473e-15,-1.8329215442961127e-14,1.2524878556620921e-14,6.677965152771838e-15
18,-2.316367645091533,-6.237490518369992,-3.5363571534133604,0.1677911595705591,1.4870673752188523,-2.825279105036988,-0.7325847997066095,-2.322070645899685,0.5912490973229025,-0.8644974972145932,0.8192639473009995,-0.8145405439233586,1.5262468113638779,-0.31564005616070295,0.507814724821462,-0.6280606894694644,0.00946431423584233,-0.1981228303259991,-0.11737360515669223,-0.6211371379798956,0.518165469899253,-0.36195292199305334,-0.8982305306110754,0.7465161636434536,-0.2174883590082956,0.11332519165676166,0.2526821501480841,0.5874438318041042,0.0828320241172938,-0.038458826127476975,0.43265798233490926,-0.014291619753358728,0.31974204583545657,0.27627410923215917,0.07736900836353283,0.1202874034751037,0.0889708216312591,-0.014289473251231075,-0.016428008096114093,-0.05596887645267385,-0.07353516984127083,-0.0990592005537046,-0.049703544085782765,-0.08560475775556466,-0.015487764066944059,0.013549471187071867,0.002726483695126254,0.02409980963385248,-0.00028105208668120334,-2.3213610549752816e-14,1.3359818258877587e-14,7.634449457110205e-15,5.521614098825282e-15,-6.624673206954954e-15,6.263713658560007e-15,8.817855846563252e-15,3.3263775879040566e-14,1.9864421065151968e-14,-3.4234820371911585e-14,-1.18813781955701e-14
19,1.873020636912463,-3.7149098158744405,-4.7337369070416,-0.4510069087858171,-1.1707999101898252,-4.151722240025664,0.24530570020430623,-0.5217669371099161,1.412685960099092,-1.608979155083869,1.2581269398772246,-0.057831239636025995,0.8560606090959861,0.10992369576824187,0.6033036820195075,0.0418506897645901,-0.16921201983038767,-0.35443180197136476,-0.005010608635875502,-0.7545285104812067,0.28299484726380436,-0.6246567225550368,-0.41623970488379314,0.167615786489219,-0.587426528181151,-0.12544810277597343,0.3040087294726137,0.7698775730731887,-0.2549391364917974,0.7020013474069822,0.33802801612401223,0.09302115228369284,-0.3456067104183212,-0.03366924826679008,0.013479863714405101,-0.07769196580193298,0.11252052018805375,0.14436141232295874,-0.05992844412689815,-0.027156101710681394,-0.13934076770237602,-0.052580152819758016,-0.09982426430708413,0.09902078208002354,-0.035193427408474025,0.030384076826136003,-0.010271318870724395,0.003169737098682761,0.0012593709347480352,-5.9852319403487365e-15,1.5890013250939164e-15,7.578618928670671e-16,3.0439370418203814e-15,-6.358684853347178e-16,1.2463036288768546e-15,3.971252392715003e-15,1.0980618173274306e-14,-1.0702793303423398e-15,-2.18450879456838e-15,-3.449028792788662e-15
20,-3.2470819451383806,-2.9629001447787124,-4.919668367101475,0.05740782492311746,0.6863909411226486,-4.093359652961734,0.39191602962657757,-1.1327272529869699,1.0797092150209018,-1.1261490151108131,1.638844435094323,1.0264441657699017,-0.07926804196936306,-0.6794159567104483,-0.5985828410481844,0.24617348171331999,-0.1470743335770534,-0.6001280911480432,0.012433082395785498,-0.6057148169110299,0.516076873960974,-0.22795066716837986,-0.6169020232095759,0.4971876025649421,-0.17567742301053926,0.2871191102468194,0.13069968444648186,0.7030824428366216,0.3651734526655092,0.6813083084109696,0.39843335936717367,-0.28180469291514426,-0.2665919009590157,-0.26157314499588424,0.06174877824335081,0.06164360706908035,0.045634772143712636,-0.032481743945950776,-0.36959862973543817,0.11060462719765146,-0.11221271395161458,0.04431919487125207,-0.04640257128776271,0.1158263709663147,-0.05494295046036503,-0.004228489830026959,-0.010400811045364777,-0.01278543684087409,0.0054216767683738796,1.2850913150074028e-14,-1.05733739328826e-14,-6.204945032697061e-15,4.362340405585117e-15,-5.939499909975777e-16,-7.344180543953518e-15,4.221232718634739e-15,-2.4678278397053468e-14,-2.1492528663086006e-15,1.7069418907658505e-14,-5.9960229866154706e-15
