Component,Feature,AbsoluteLoading,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
PC8,LossStreakAway,0.45491866248177987,,,,,,,,0.45491866248177987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC8,WinStreakAway,0.3985246815548345,,,,,,,,-0.3985246815548345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC8,HFA,0.30625953370846354,,,,,,,,-0.30625953370846354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC8,ShotsOnTargetDifference,0.2523202213597648,,,,,,,,-0.2523202213597648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC8,AverageShotsOnTargetAtAway,0.2333320145673649,,,,,,,,0.2333320145673649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC8,AverageGoalsConcededAtHome,0.23010841449789146,,,,,,,,0.23010841449789146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC8,AwayGeneralForm,0.2260557161257918,,,,,,,,-0.2260557161257918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC8,AverageGoalsScoredAtAway,0.19629172705237277,,,,,,,,0.19629172705237277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC8,HomeForm,0.17590699818157993,,,,,,,,-0.17590699818157993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC8,AverageGoalsConcededAtAway,0.1706823232864394,,,,,,,,0.1706823232864394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,HFA,0.5836133500884826,,,,,,,,,0.5836133500884826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,ShotsOnTargetDifference,0.3906163311857713,,,,,,,,,-0.3906163311857713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,HomeAdvantageIndex,0.31193290127678175,,,,,,,,,0.31193290127678175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,AwayForm,0.2734604946335643,,,,,,,,,-0.2734604946335643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,AverageShotsOnTargetAtHome,0.2250799542011359,,,,,,,,,-0.2250799542011359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,AverageShotsOnTargetAtAway,0.22414815820918008,,,,,,,,,0.22414815820918008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,AverageGoalsScoredAtAway,0.17722838493390863,,,,,,,,,0.17722838493390863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,HomeForm,0.15995098594053136,,,,,,,,,0.15995098594053136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,AverageGoalsConcededAtHome,0.14610933150202207,,,,,,,,,-0.14610933150202207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC9,AverageGoalsScoredAtHome,0.13819958440429722,,,,,,,,,-0.13819958440429722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC10,HistoricalEncountersHome,0.5833814799873422,,,,,,,,,,0.5833814799873422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC10,HomeForm,0.3399003225467591,,,,,,,,,,0.3399003225467591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC10,AverageGoalsConcededAtAway,0.22748691925582962,,,,,,,,,,-0.22748691925582962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC10,AwayFifaAttack,0.21613980242290953,,,,,,,,,,-0.21613980242290953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC10,LossStreakAway,0.21522044629092632,,,,,,,,,,0.21522044629092632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC10,AverageGoalsConcededAtHome,0.1963431795490996,,,,,,,,,,-0.1963431795490996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC10,AwayForm,0.15905791733599964,,,,,,,,,,0.15905791733599964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC10,WinStreakAway,0.15440982816283688,,,,,,,,,,-0.15440982816283688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC10,OddsFavourAway,0.14879665394805186,,,,,,,,,,0.14879665394805186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC10,OddsFavourHome,0.14434782856530867,,,,,,,,,,-0.14434782856530867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC11,HFA,0.5649858600821943,,,,,,,,,,,0.5649858600821943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC11,AverageGoalsConcededAtAway,0.344412397130452,,,,,,,,,,,-0.344412397130452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC11,HistoricalEncountersHome,0.2740989673558324,,,,,,,,,,,-0.2740989673558324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC11,WinStreakAway,0.2612707361319346,,,,,,,,,,,-0.2612707361319346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC11,LossStreakAway,0.21755789328265213,,,,,,,,,,,0.21755789328265213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC11,ShotsOnTargetDifference,0.21277174587338119,,,,,,,,,,,0.21277174587338119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC11,HomeAdvantageIndex,0.1963921685244273,,,,,,,,,,,-0.1963921685244273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC11,OddsFavourHome,0.1739353182358213,,,,,,,,,,,-0.1739353182358213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC11,OddsFavourAway,0.1731311943257673,,,,,,,,,,,0.1731311943257673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC11,HomeForm,0.15298139573712152,,,,,,,,,,,-0.15298139573712152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC12,HistoricalEncountersHome,0.3899246141129728,,,,,,,,,,,,0.3899246141129728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC12,LossStreakAway,0.31746651868093956,,,,,,,,,,,,-0.31746651868093956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC12,AverageGoalsConcededAtHome,0.31227197578045457,,,,,,,,,,,,0.31227197578045457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC12,OddsFavourAway,0.30531278593563216,,,,,,,,,,,,0.30531278593563216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC12,OddsFavourHome,0.30112985496329026,,,,,,,,,,,,-0.30112985496329026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC12,WinStreakHome,0.2972537437696227,,,,,,,,,,,,0.2972537437696227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC12,LossStreakHome,0.28953691403716914,,,,,,,,,,,,-0.28953691403716914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC12,AverageGoalsConcededAtAway,0.23471383854048986,,,,,,,,,,,,0.23471383854048986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC12,AwayForm,0.18892275757421056,,,,,,,,,,,,-0.18892275757421056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
