Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,HTH Goals,HTA Goals,HT Result,Referee,H Shots,A Shots,H SOT,A SOT,H Fouls,A Fouls,H Corners,A Corners,H Yellow,A Yellow,H Red,A Red,Display_Order,League
13/03/2022,2021,Luton,QPR,1,2,A,1,0,H,J Smith,13,5,4,3,10,7,4,4,0,3,0,0,20220313,English Second
15/03/2022,2021,Barnsley,Bristol City,2,0,H,2,0,H,D Webb,12,16,5,3,10,7,7,3,0,0,0,0,20220315,English Second
15/03/2022,2021,Birmingham,Middlesbrough,0,2,A,0,1,A,D Bond,8,10,0,5,14,11,5,7,1,2,1,0,20220315,English Second
15/03/2022,2021,Blackburn,Derby,3,1,H,0,1,A,T Harrington,12,11,5,2,6,6,9,1,1,1,0,0,20220315,English Second
15/03/2022,2021,Bournemouth,Reading,1,1,D,1,0,H,L Doughty,10,8,6,3,21,8,5,7,2,1,0,0,20220315,English Second
15/03/2022,2021,West Brom,Fulham,1,0,H,0,0,D,K Friend,9,8,5,1,7,7,8,8,1,1,0,0,20220315,English Second
16/03/2022,2021,Blackpool,Sheffield United,0,0,D,0,0,D,G Eltringham,10,8,1,2,6,12,2,5,1,2,0,0,20220316,English Second
16/03/2022,2021,Cardiff,Stoke,2,1,H,2,1,H,A Woolmer,12,7,6,4,11,10,9,8,1,0,0,0,20220316,English Second
16/03/2022,2021,Coventry,Hull,0,2,A,0,2,A,J Busby,17,12,5,6,9,6,12,5,2,0,0,0,20220316,English Second
16/03/2022,2021,Luton,Preston,4,0,H,3,0,H,S Martin,12,10,5,2,8,13,4,3,1,2,0,0,20220316,English Second
16/03/2022,2021,Millwall,Huddersfield,2,0,H,1,0,H,J Linington,19,13,7,3,8,7,7,3,2,0,0,0,20220316,English Second
16/03/2022,2021,Nott'm Forest,QPR,3,1,H,0,1,A,P Bankes,16,6,8,1,11,18,6,2,2,5,0,0,20220316,English Second
16/03/2022,2021,Peterboro,Swansea,2,3,A,0,1,A,O Langford,5,16,2,9,10,11,3,4,1,5,0,0,20220316,English Second
19/03/2022,2021,Derby,Coventry,1,1,D,0,1,A,D Bond,15,13,6,6,4,15,7,10,1,3,0,0,20220319,English Second
19/03/2022,2021,Sheffield United,Barnsley,2,0,H,0,0,D,S Martin,12,10,4,3,7,19,7,6,1,1,0,0,20220319,English Second
19/03/2022,2021,Bristol City,West Brom,2,2,D,1,0,H,L Doughty,8,7,3,2,17,18,3,5,1,1,0,0,20220319,English Second
19/03/2022,2021,Huddersfield,Bournemouth,0,3,A,0,2,A,S Hooper,7,14,4,6,7,8,2,5,0,3,0,0,20220319,English Second
19/03/2022,2021,Hull,Luton,1,3,A,0,1,A,T Harrington,16,11,4,5,9,11,6,5,2,2,0,0,20220319,English Second
19/03/2022,2021,Reading,Blackburn,1,0,H,0,0,D,J Linington,8,16,6,5,9,10,3,4,1,2,0,0,20220319,English Second
19/03/2022,2021,Stoke,Millwall,2,0,H,1,0,H,J Brooks,15,7,2,2,10,12,4,4,3,1,0,0,20220319,English Second
19/03/2022,2021,Swansea,Birmingham,0,0,D,0,0,D,J Simpson,9,16,4,4,13,8,1,6,0,0,0,0,20220319,English Second
20/03/2022,2021,QPR,Peterboro,1,3,A,1,1,D,D Webb,13,12,1,8,9,12,4,2,1,3,0,0,20220320,English Second
01/04/2022,2021,Hull,Huddersfield,0,1,A,0,0,D,J Simpson,6,23,1,8,12,9,4,9,2,1,1,0,20220401,English Second
02/04/2022,2021,Blackpool,Nott'm Forest,1,4,A,0,3,A,J Gillett,18,17,5,7,9,8,8,4,1,1,0,0,20220402,English Second
02/04/2022,2021,Barnsley,Reading,1,1,D,1,0,H,K Stroud,8,13,2,4,19,12,1,8,2,3,0,0,20220402,English Second
02/04/2022,2021,Bournemouth,Bristol City,3,2,H,1,1,D,S Martin,25,6,9,3,8,7,12,3,0,1,0,0,20220402,English Second
02/04/2022,2021,Cardiff,Swansea,0,4,A,0,1,A,J Smith,10,12,2,4,14,14,8,4,2,4,0,0,20220402,English Second
02/04/2022,2021,Coventry,Blackburn,2,2,D,1,0,H,P Bankes,11,11,4,4,13,16,2,4,2,5,0,0,20220402,English Second
02/04/2022,2021,Derby,Preston,1,0,H,0,0,D,G Eltringham,22,12,13,1,10,10,9,5,2,2,1,1,20220402,English Second
02/04/2022,2021,Luton,Millwall,2,2,D,1,1,D,G Scott,9,10,2,4,6,10,5,4,0,0,0,0,20220402,English Second
02/04/2022,2021,Peterboro,Middlesbrough,0,4,A,0,1,A,L Doughty,10,11,3,6,19,10,5,7,3,1,0,0,20220402,English Second
02/04/2022,2021,QPR,Fulham,0,2,A,0,1,A,G Ward,8,13,2,8,15,5,4,5,3,0,0,0,20220402,English Second
02/04/2022,2021,Stoke,Sheffield United,1,0,H,0,0,D,D Webb,9,10,1,1,10,5,4,7,0,0,0,0,20220402,English Second
03/04/2022,2021,Birmingham,West Brom,1,0,H,0,0,D,D Whitestone,3,8,2,0,11,11,3,6,2,1,0,0,20220403,English Second
05/04/2022,2021,Millwall,Swansea,0,1,A,0,0,D,A Davies,13,14,2,5,9,5,10,5,1,2,0,0,20220405,English Second
05/04/2022,2021,Peterboro,Luton,1,1,D,0,0,D,T Bramall,18,9,6,3,19,12,4,6,4,2,0,0,20220405,English Second
05/04/2022,2021,Preston,Blackpool,1,0,H,1,0,H,D Webb,12,8,2,0,17,9,3,3,4,0,0,0,20220405,English Second
05/04/2022,2021,Sheffield United,QPR,1,0,H,1,0,H,D Bond,9,7,3,1,14,9,5,5,2,3,0,0,20220405,English Second
05/04/2022,2021,Reading,Stoke,2,1,H,1,1,D,D Whitestone,9,12,3,3,6,13,5,3,1,3,0,0,20220405,English Second
06/04/2022,2021,Middlesbrough,Fulham,0,1,A,0,0,D,J Linington,15,6,2,2,13,13,8,4,3,2,0,0,20220406,English Second
06/04/2022,2021,Nott'm Forest,Coventry,2,0,H,1,0,H,T Robinson,18,13,3,5,9,9,7,2,3,3,0,0,20220406,English Second
06/04/2022,2021,West Brom,Bournemouth,2,0,H,2,0,H,K Stroud,12,17,4,0,9,14,6,5,3,3,0,0,20220406,English Second
09/04/2022,2021,Sheffield United,Bournemouth,0,0,D,0,0,D,D Whitestone,10,6,2,2,18,14,7,4,3,2,0,0,20220409,English Second
09/04/2022,2021,Blackburn,Blackpool,1,1,D,1,0,H,M Donohue,10,18,2,3,15,10,7,6,2,3,0,0,20220409,English Second
09/04/2022,2021,Bristol City,Peterboro,1,1,D,1,0,H,J Brooks,19,16,2,5,12,13,11,4,0,1,0,1,20220409,English Second
09/04/2022,2021,Middlesbrough,Hull,0,1,A,0,0,D,A Woolmer,11,5,4,3,7,13,7,1,3,5,0,0,20220409,English Second
09/04/2022,2021,Millwall,Barnsley,4,1,H,1,0,H,O Langford,15,13,10,4,7,12,7,7,1,1,0,0,20220409,English Second
09/04/2022,2021,Nott'm Forest,Birmingham,2,0,H,1,0,H,G Ward,13,7,5,2,11,13,9,4,1,3,0,0,20220409,English Second
09/04/2022,2021,Preston,QPR,2,1,H,1,0,H,T Harrington,20,15,7,7,11,9,7,5,0,1,0,0,20220409,English Second
09/04/2022,2021,Reading,Cardiff,1,2,A,1,0,H,M Salisbury,10,7,2,3,8,10,5,5,0,1,0,0,20220409,English Second
09/04/2022,2021,Swansea,Derby,2,1,H,2,1,H,T Robinson,10,8,3,3,11,9,3,4,2,1,0,0,20220409,English Second
09/04/2022,2021,West Brom,Stoke,1,3,A,0,1,A,A Davies,15,13,3,4,7,6,6,4,0,0,0,0,20220409,English Second
10/04/2022,2021,Fulham,Coventry,1,3,A,0,2,A,K Stroud,28,18,7,5,10,12,6,10,1,4,0,0,20220410,English Second
11/04/2022,2021,Huddersfield,Luton,2,0,H,0,0,D,G Eltringham,11,7,4,1,7,14,6,3,3,2,0,0,20220411,English Second
15/04/2022,2021,Luton,Nott'm Forest,1,0,H,1,0,H,J Linington,8,11,4,3,17,15,6,1,6,4,1,0,20220415,English Second
15/04/2022,2021,Birmingham,Coventry,2,4,A,2,2,D,O Langford,12,13,2,7,6,5,8,7,4,0,0,0,20220415,English Second
15/04/2022,2021,Bournemouth,Middlesbrough,0,0,D,0,0,D,T Robinson,8,5,2,1,8,10,3,4,1,2,0,0,20220415,English Second
15/04/2022,2021,Hull,Cardiff,2,1,H,2,0,H,S Martin,8,11,3,4,4,13,4,4,0,3,0,0,20220415,English Second
15/04/2022,2021,Peterboro,Blackburn,2,1,H,0,0,D,C Kavanagh,15,13,10,2,8,13,7,6,1,1,0,1,20220415,English Second
15/04/2022,2021,Preston,Millwall,1,1,D,1,1,D,T Bramall,17,14,5,7,10,7,10,6,0,1,0,0,20220415,English Second
15/04/2022,2021,Sheffield United,Reading,1,2,A,0,1,A,G Ward,13,8,2,3,15,11,6,2,4,4,0,0,20220415,English Second
15/04/2022,2021,Stoke,Bristol City,0,1,A,0,0,D,M Donohue,12,6,3,4,16,13,6,0,2,4,0,0,20220415,English Second
15/04/2022,2021,Swansea,Barnsley,1,1,D,0,0,D,A Woolmer,17,19,7,4,13,11,6,8,1,3,0,0,20220415,English Second
15/04/2022,2021,West Brom,Blackpool,2,1,H,1,0,H,J Simpson,17,11,5,4,8,9,7,3,0,1,0,0,20220415,English Second
15/04/2022,2021,Huddersfield,QPR,2,2,D,1,1,D,L Doughty,6,11,2,3,13,9,7,4,3,2,0,0,20220415,English Second
15/04/2022,2021,Derby,Fulham,2,1,H,0,1,A,R Jones,6,21,4,8,8,11,3,8,4,1,0,0,20220415,English Second
18/04/2022,2021,Middlesbrough,Huddersfield,0,2,A,0,1,A,D England,13,10,2,7,11,15,11,4,3,3,0,0,20220418,English Second
18/04/2022,2021,Barnsley,Peterboro,0,2,A,0,1,A,D Bond,19,10,11,4,15,13,9,3,1,2,0,0,20220418,English Second
