Rank,Club,Country,Level,Elo,From,To
None,Sheffield Weds,ENG,2,1465.70837402,1948-03-28,1948-03-29
None,Sheffield Weds,ENG,2,1470.32409668,1948-03-30,1948-04-03
None,Sheffield Weds,ENG,2,1483.37158203,1948-04-04,1948-04-05
None,Sheffield Weds,ENG,2,1487.51135254,1948-04-06,1948-04-10
None,Sheffield Weds,ENG,2,1483.33972168,1948-04-11,1948-04-11
None,Sheffield Weds,ENG,2,1506.33972168,1948-04-12,1948-04-12
None,Sheffield Weds,ENG,2,1502.38830566,1948-04-13,1948-04-17
None,Sheffield Weds,ENG,2,1495.55358887,1948-04-18,1948-04-24
None,Sheffield Weds,ENG,2,1495.73339844,1948-04-25,1948-05-01
None,Sheffield Weds,ENG,2,1497.08178711,1948-05-02,1948-05-17
None,Sheffield Weds,ENG,2,1524.08178711,1948-05-18,1948-08-21
None,Sheffield Weds,ENG,2,1517.1998291,1948-08-22,1948-08-23
None,Sheffield Weds,ENG,2,1525.4564209,1948-08-24,1948-08-28
None,Sheffield Weds,ENG,2,1522.05383301,1948-08-29,1948-08-30
None,Sheffield Weds,ENG,2,1523.11340332,1948-08-31,1948-09-04
None,Sheffield Weds,ENG,2,1524.19836426,1948-09-05,1948-09-08
None,Sheffield Weds,ENG,2,1516.37573242,1948-09-09,1948-09-11
None,Sheffield Weds,ENG,2,1522.6973877,1948-09-12,1948-09-13
None,Sheffield Weds,ENG,2,1511.20483398,1948-09-14,1948-09-18
None,Sheffield Weds,ENG,2,1520.25646973,1948-09-19,1948-09-25
None,Sheffield Weds,ENG,2,1529.36340332,1948-09-26,1948-10-02
None,Sheffield Weds,ENG,2,1518.11901855,1948-10-03,1948-10-09
None,Sheffield Weds,ENG,2,1505.70800781,1948-10-10,1948-10-10
None,Sheffield Weds,ENG,2,1518.70800781,1948-10-11,1948-10-16
None,Sheffield Weds,ENG,2,1526.60595703,1948-10-17,1948-10-23
None,Sheffield Weds,ENG,2,1534.45446777,1948-10-24,1948-10-30
None,Sheffield Weds,ENG,2,1522.83703613,1948-10-31,1948-11-06
None,Sheffield Weds,ENG,2,1515.01782227,1948-11-07,1948-11-11
None,Sheffield Weds,ENG,2,1519.01782227,1948-11-12,1948-11-13
None,Sheffield Weds,ENG,2,1530.29077148,1948-11-14,1948-11-20
None,Sheffield Weds,ENG,2,1530.8026123,1948-11-21,1948-11-27
None,Sheffield Weds,ENG,2,1535.03442383,1948-11-28,1948-12-04
None,Sheffield Weds,ENG,2,1531.28735352,1948-12-05,1948-12-11
None,Sheffield Weds,ENG,2,1535.67456055,1948-12-12,1948-12-18
None,Sheffield Weds,ENG,2,1543.75732422,1948-12-19,1948-12-25
None,Sheffield Weds,ENG,2,1539.14318848,1948-12-26,1948-12-27
None,Sheffield Weds,ENG,2,1544.7265625,1948-12-28,1949-01-01
None,Sheffield Weds,ENG,2,1537.91162109,1949-01-02,1949-01-22
None,Sheffield Weds,ENG,2,1538.29541016,1949-01-23,1949-02-05
None,Sheffield Weds,ENG,2,1541.9675293,1949-02-06,1949-02-19
None,Sheffield Weds,ENG,2,1538.07800293,1949-02-20,1949-02-26
None,Sheffield Weds,ENG,2,1524.96679688,1949-02-27,1949-03-05
None,Sheffield Weds,ENG,2,1520.50109863,1949-03-06,1949-03-12
None,Sheffield Weds,ENG,2,1512.75854492,1949-03-13,1949-03-19
None,Sheffield Weds,ENG,2,1515.87585449,1949-03-20,1949-03-26
None,Sheffield Weds,ENG,2,1520.28967285,1949-03-27,1949-04-02
None,Sheffield Weds,ENG,2,1524.01306152,1949-04-03,1949-04-09
None,Sheffield Weds,ENG,2,1517.94494629,1949-04-10,1949-04-10
None,Sheffield Weds,ENG,2,1464.94494629,1949-04-11,1949-04-11
None,Sheffield Weds,ENG,2,1452.72338867,1949-04-12,1949-04-15
None,Sheffield Weds,ENG,2,1455.62145996,1949-04-16,1949-04-16
None,Sheffield Weds,ENG,2,1452.88708496,1949-04-17,1949-04-19
None,Sheffield Weds,ENG,2,1449.42333984,1949-04-20,1949-04-23
None,Sheffield Weds,ENG,2,1461.97937012,1949-04-24,1949-04-30
None,Sheffield Weds,ENG,2,1457.49401855,1949-05-01,1949-05-07
None,Sheffield Weds,ENG,2,1458.14868164,1949-05-08,1949-05-14
None,Sheffield Weds,ENG,2,1447.14868164,1949-05-15,1949-05-20
None,Sheffield Weds,ENG,2,1453.14868164,1949-05-21,1949-05-25
None,Sheffield Weds,ENG,2,1461.14868164,1949-05-26,1949-08-20
None,Sheffield Weds,ENG,2,1466.54211426,1949-08-21,1949-08-22
None,Sheffield Weds,ENG,2,1461.62097168,1949-08-23,1949-08-27
None,Sheffield Weds,ENG,2,1472.94848633,1949-08-28,1949-08-29
None,Sheffield Weds,ENG,2,1470.55615234,1949-08-30,1949-09-03
None,Sheffield Weds,ENG,2,1478.55236816,1949-09-04,1949-09-05
None,Sheffield Weds,ENG,2,1474.25476074,1949-09-06,1949-09-10
None,Sheffield Weds,ENG,2,1481.22302246,1949-09-11,1949-09-17
None,Sheffield Weds,ENG,2,1488.38842773,1949-09-18,1949-09-22
None,Sheffield Weds,ENG,2,1460.38842773,1949-09-23,1949-09-24
None,Sheffield Weds,ENG,2,1466.65454102,1949-09-25,1949-10-01
None,Sheffield Weds,ENG,2,1465.83288574,1949-10-02,1949-10-08
None,Sheffield Weds,ENG,2,1455.61547852,1949-10-09,1949-10-15
None,Sheffield Weds,ENG,2,1459.109375,1949-10-16,1949-10-16
None,Sheffield Weds,ENG,2,1482.109375,1949-10-17,1949-10-22
None,Sheffield Weds,ENG,2,1494.29821777,1949-10-23,1949-10-29
None,Sheffield Weds,ENG,2,1500.20715332,1949-10-30,1949-11-05
None,Sheffield Weds,ENG,2,1499.70996094,1949-11-06,1949-11-12
None,Sheffield Weds,ENG,2,1497.62182617,1949-11-13,1949-11-19
None,Sheffield Weds,ENG,2,1502.62182617,1949-11-20,1949-11-26
None,Sheffield Weds,ENG,2,1497.45751953,1949-11-27,1949-12-03
None,Sheffield Weds,ENG,2,1518.81506348,1949-12-04,1949-12-10
None,Sheffield Weds,ENG,2,1522.96594238,1949-12-11,1949-12-17
None,Sheffield Weds,ENG,2,1522.19641113,1949-12-18,1949-12-24
None,Sheffield Weds,ENG,2,1516.27233887,1949-12-25,1949-12-26
None,Sheffield Weds,ENG,2,1521.04748535,1949-12-27,1949-12-27
None,Sheffield Weds,ENG,2,1520.75244141,1949-12-28,1949-12-31
None,Sheffield Weds,ENG,2,1529.43664551,1950-01-01,1950-01-14
None,Sheffield Weds,ENG,2,1510.15930176,1950-01-15,1950-01-21
None,Sheffield Weds,ENG,2,1503.91235352,1950-01-22,1950-02-04
None,Sheffield Weds,ENG,2,1505.18310547,1950-02-05,1950-02-11
None,Sheffield Weds,ENG,2,1490.79797363,1950-02-12,1950-02-18
None,Sheffield Weds,ENG,2,1486.11865234,1950-02-19,1950-03-04
None,Sheffield Weds,ENG,2,1485.35351562,1950-03-05,1950-03-11
None,Sheffield Weds,ENG,2,1475.92687988,1950-03-12,1950-03-18
None,Sheffield Weds,ENG,2,1484.86499023,1950-03-19,1950-03-25
None,Sheffield Weds,ENG,2,1494.56506348,1950-03-26,1950-04-01
None,Sheffield Weds,ENG,2,1494.76037598,1950-04-02,1950-04-07
None,Sheffield Weds,ENG,2,1495.40856934,1950-04-08,1950-04-08
None,Sheffield Weds,ENG,2,1501.00585938,1950-04-09,1950-04-10
None,Sheffield Weds,ENG,2,1504.56481934,1950-04-11,1950-04-15
None,Sheffield Weds,ENG,2,1499.88574219,1950-04-16,1950-04-16
None,Sheffield Weds,ENG,2,1518.88574219,1950-04-17,1950-04-22
None,Sheffield Weds,ENG,2,1514.72692871,1950-04-23,1950-04-26
None,Sheffield Weds,ENG,2,1523.04968262,1950-04-27,1950-04-29
None,Sheffield Weds,ENG,2,1523.09130859,1950-04-30,1950-05-06
None,Sheffield Weds,ENG,2,1521.64929199,1950-05-07,1950-05-15
None,Sheffield Weds,ENG,2,1527.64929199,1950-05-16,1950-05-20
None,Sheffield Weds,ENG,2,1532.64929199,1950-05-21,1950-06-26
None,Sheffield Weds,ENG,2,1541.64929199,1950-06-27,1950-06-30
None,Sheffield Weds,ENG,2,1485.64929199,1950-07-01,1950-07-01
None,Sheffield Weds,ENG,1,1485.64929199,1950-07-02,1950-07-03
None,Sheffield Weds,ENG,1,1450.64929199,1950-07-04,1950-08-19
None,Sheffield Weds,ENG,1,1444.48706055,1950-08-20,1950-08-21
None,Sheffield Weds,ENG,1,1456.89990234,1950-08-22,1950-08-26
None,Sheffield Weds,ENG,1,1449.79321289,1950-08-27,1950-08-30
None,Sheffield Weds,ENG,1,1447.10473633,1950-08-31,1950-09-02
None,Sheffield Weds,ENG,1,1444.34106445,1950-09-03,1950-09-04
None,Sheffield Weds,ENG,1,1443.54370117,1950-09-05,1950-09-09
None,Sheffield Weds,ENG,1,1435.84338379,1950-09-10,1950-09-11
None,Sheffield Weds,ENG,1,1440.84558105,1950-09-12,1950-09-16
None,Sheffield Weds,ENG,1,1435.6940918,1950-09-17,1950-09-23
None,Sheffield Weds,ENG,1,1449.40307617,1950-09-24,1950-09-30
None,Sheffield Weds,ENG,1,1453.33288574,1950-10-01,1950-10-07
None,Sheffield Weds,ENG,1,1450.83361816,1950-10-08,1950-10-08
None,Sheffield Weds,ENG,1,1463.83361816,1950-10-09,1950-10-14
None,Sheffield Weds,ENG,1,1466.72424316,1950-10-15,1950-10-21
None,Sheffield Weds,ENG,1,1462.57836914,1950-10-22,1950-10-28
None,Sheffield Weds,ENG,1,1479.23815918,1950-10-29,1950-11-04
None,Sheffield Weds,ENG,1,1474.02148438,1950-11-05,1950-11-11
None,Sheffield Weds,ENG,1,1481.78552246,1950-11-12,1950-11-18
None,Sheffield Weds,ENG,1,1481.72412109,1950-11-19,1950-11-25
None,Sheffield Weds,ENG,1,1468.90991211,1950-11-26,1950-12-02
None,Sheffield Weds,ENG,1,1466.49768066,1950-12-03,1950-12-09
None,Sheffield Weds,ENG,1,1468.12255859,1950-12-10,1950-12-23
None,Sheffield Weds,ENG,1,1465.79980469,1950-12-24,1950-12-25
None,Sheffield Weds,ENG,1,1484.60998535,1950-12-26,1950-12-26
None,Sheffield Weds,ENG,1,1497.02893066,1950-12-27,1950-12-30
None,Sheffield Weds,ENG,1,1488.82873535,1950-12-31,1951-01-13
None,Sheffield Weds,ENG,1,1484.15283203,1951-01-14,1951-01-20
None,Sheffield Weds,ENG,1,1482.34082031,1951-01-21,1951-02-03
None,Sheffield Weds,ENG,1,1489.02062988,1951-02-04,1951-02-17
None,Sheffield Weds,ENG,1,1486.08935547,1951-02-18,1951-02-24
None,Sheffield Weds,ENG,1,1485.31445312,1951-02-25,1951-02-26
None,Sheffield Weds,ENG,1,1473.83068848,1951-02-27,1951-03-03
None,Sheffield Weds,ENG,1,1470.00195312,1951-03-04,1951-03-17
None,Sheffield Weds,ENG,1,1467.15881348,1951-03-18,1951-03-24
None,Sheffield Weds,ENG,1,1482.51379395,1951-03-25,1951-03-26
None,Sheffield Weds,ENG,1,1486.7644043,1951-03-27,1951-03-31
None,Sheffield Weds,ENG,1,1483.17944336,1951-04-01,1951-04-07
None,Sheffield Weds,ENG,1,1482.08190918,1951-04-08,1951-04-14
None,Sheffield Weds,ENG,1,1495.01635742,1951-04-15,1951-04-15
None,Sheffield Weds,ENG,1,1466.01635742,1951-04-16,1951-04-18
None,Sheffield Weds,ENG,1,1474.18566895,1951-04-19,1951-04-21
None,Sheffield Weds,ENG,1,1489.46765137,1951-04-22,1951-04-28
None,Sheffield Weds,ENG,1,1486.95703125,1951-04-29,1951-05-05
None,Sheffield Weds,ENG,1,1500.63391113,1951-05-06,1951-05-10
None,Sheffield Weds,ENG,1,1511.63391113,1951-05-11,1951-05-20
None,Sheffield Weds,ENG,1,1514.63391113,1951-05-21,1951-07-01
None,Sheffield Weds,ENG,2,1514.63391113,1951-07-02,1951-08-18
None,Sheffield Weds,ENG,2,1518.29138184,1951-08-19,1951-08-20
None,Sheffield Weds,ENG,2,1506.42419434,1951-08-21,1951-08-25
None,Sheffield Weds,ENG,2,1508.70849609,1951-08-26,1951-08-27
None,Sheffield Weds,ENG,2,1512.20410156,1951-08-28,1951-09-01
None,Sheffield Weds,ENG,2,1516.4552002,1951-09-02,1951-09-03
None,Sheffield Weds,ENG,2,1511.60327148,1951-09-04,1951-09-08
None,Sheffield Weds,ENG,2,1500.45471191,1951-09-09,1951-09-12
None,Sheffield Weds,ENG,2,1501.5065918,1951-09-13,1951-09-15
None,Sheffield Weds,ENG,2,1494.80505371,1951-09-16,1951-09-22
None,Sheffield Weds,ENG,2,1475.97277832,1951-09-23,1951-09-29
None,Sheffield Weds,ENG,2,1469.85351562,1951-09-30,1951-10-06
None,Sheffield Weds,ENG,2,1464.83508301,1951-10-07,1951-10-13
None,Sheffield Weds,ENG,2,1472.54138184,1951-10-14,1951-10-20
None,Sheffield Weds,ENG,2,1476.2421875,1951-10-21,1951-10-21
None,Sheffield Weds,ENG,2,1468.2421875,1951-10-22,1951-10-27
None,Sheffield Weds,ENG,2,1467.91699219,1951-10-28,1951-11-03
None,Sheffield Weds,ENG,2,1476.35839844,1951-11-04,1951-11-10
None,Sheffield Weds,ENG,2,1465.36877441,1951-11-11,1951-11-17
None,Sheffield Weds,ENG,2,1471.34960938,1951-11-18,1951-11-24
None,Sheffield Weds,ENG,2,1478.12207031,1951-11-25,1951-12-01
None,Sheffield Weds,ENG,2,1476.66174316,1951-12-02,1951-12-08
None,Sheffield Weds,ENG,2,1493.1875,1951-12-09,1951-12-15
None,Sheffield Weds,ENG,2,1492.18139648,1951-12-16,1951-12-22
None,Sheffield Weds,ENG,2,1499.63024902,1951-12-23,1951-12-25
None,Sheffield Weds,ENG,2,1494.01403809,1951-12-26,1951-12-26
None,Sheffield Weds,ENG,2,1485.96936035,1951-12-27,1951-12-29
None,Sheffield Weds,ENG,2,1497.59838867,1951-12-30,1952-01-05
None,Sheffield Weds,ENG,2,1480.92541504,1952-01-06,1952-01-19
None,Sheffield Weds,ENG,2,1469.27868652,1952-01-20,1952-01-26
None,Sheffield Weds,ENG,2,1469.421875,1952-01-27,1952-02-09
None,Sheffield Weds,ENG,2,1476.21337891,1952-02-10,1952-02-16
None,Sheffield Weds,ENG,2,1468.07128906,1952-02-17,1952-03-01
None,Sheffield Weds,ENG,2,1474.98657227,1952-03-02,1952-03-12
None,Sheffield Weds,ENG,2,1475.30163574,1952-03-13,1952-03-15
None,Sheffield Weds,ENG,2,1477.36999512,1952-03-16,1952-03-22
None,Sheffield Weds,ENG,2,1477.39453125,1952-03-23,1952-04-02
None,Sheffield Weds,ENG,2,1483.01550293,1952-04-03,1952-04-05
None,Sheffield Weds,ENG,2,1488.97631836,1952-04-06,1952-04-06
None,Sheffield Weds,ENG,2,1512.97631836,1952-04-07,1952-04-11
None,Sheffield Weds,ENG,2,1520.55725098,1952-04-12,1952-04-12
None,Sheffield Weds,ENG,2,1514.01953125,1952-04-13,1952-04-14
None,Sheffield Weds,ENG,2,1518.48986816,1952-04-15,1952-04-19
None,Sheffield Weds,ENG,2,1527.48303223,1952-04-20,1952-04-26
None,Sheffield Weds,ENG,2,1521.64916992,1952-04-27,1952-05-21
None,Sheffield Weds,ENG,2,1524.64916992,1952-05-22,1952-05-31
None,Sheffield Weds,ENG,2,1545.64916992,1952-06-01,1952-07-06
None,Sheffield Weds,ENG,1,1545.64916992,1952-07-07,1952-08-23
None,Sheffield Weds,ENG,1,1545.35546875,1952-08-24,1952-08-27
None,Sheffield Weds,ENG,1,1541.71557617,1952-08-28,1952-08-30
None,Sheffield Weds,ENG,1,1528.85192871,1952-08-31,1952-09-03
None,Sheffield Weds,ENG,1,1517.88195801,1952-09-04,1952-09-06
None,Sheffield Weds,ENG,1,1504.37683105,1952-09-07,1952-09-13
None,Sheffield Weds,ENG,1,1519.25708008,1952-09-14,1952-09-17
None,Sheffield Weds,ENG,1,1528.46582031,1952-09-18,1952-09-20
None,Sheffield Weds,ENG,1,1533.7989502,1952-09-21,1952-09-27
None,Sheffield Weds,ENG,1,1533.76940918,1952-09-28,1952-10-04
None,Sheffield Weds,ENG,1,1548.19628906,1952-10-05,1952-10-05
None,Sheffield Weds,ENG,1,1533.19628906,1952-10-06,1952-10-11
None,Sheffield Weds,ENG,1,1539.52392578,1952-10-12,1952-10-18
None,Sheffield Weds,ENG,1,1546.49987793,1952-10-19,1952-10-25
None,Sheffield Weds,ENG,1,1559.65844727,1952-10-26,1952-11-01
None,Sheffield Weds,ENG,1,1565.20019531,1952-11-02,1952-11-08
None,Sheffield Weds,ENG,1,1570.87927246,1952-11-09,1952-11-15
None,Sheffield Weds,ENG,1,1571.60717773,1952-11-16,1952-11-22
None,Sheffield Weds,ENG,1,1575.17578125,1952-11-23,1952-11-27
None,Sheffield Weds,ENG,1,1579.17578125,1952-11-28,1952-11-29
None,Sheffield Weds,ENG,1,1577.70776367,1952-11-30,1952-12-06
None,Sheffield Weds,ENG,1,1574.32336426,1952-12-07,1952-12-13
None,Sheffield Weds,ENG,1,1565.75817871,1952-12-14,1952-12-20
None,Sheffield Weds,ENG,1,1589.94604492,1952-12-21,1952-12-26
None,Sheffield Weds,ENG,1,1581.72888184,1952-12-27,1952-12-27
None,Sheffield Weds,ENG,1,1594.03186035,1952-12-28,1953-01-01
None,Sheffield Weds,ENG,1,1596.18762207,1953-01-02,1953-01-03
None,Sheffield Weds,ENG,1,1602.22045898,1953-01-04,1953-01-17
None,Sheffield Weds,ENG,1,1594.86560059,1953-01-18,1953-01-24
None,Sheffield Weds,ENG,1,1591.92492676,1953-01-25,1953-01-31
None,Sheffield Weds,ENG,1,1585.74768066,1953-02-01,1953-02-07
None,Sheffield Weds,ENG,1,1573.24609375,1953-02-08,1953-02-14
None,Sheffield Weds,ENG,1,1570.42944336,1953-02-15,1953-02-21
None,Sheffield Weds,ENG,1,1574.84387207,1953-02-22,1953-03-02
None,Sheffield Weds,ENG,1,1564.00671387,1953-03-03,1953-03-07
None,Sheffield Weds,ENG,1,1558.79016113,1953-03-08,1953-03-14
None,Sheffield Weds,ENG,1,1569.35949707,1953-03-15,1953-03-21
None,Sheffield Weds,ENG,1,1563.83105469,1953-03-22,1953-03-28
None,Sheffield Weds,ENG,1,1564.35876465,1953-03-29,1953-04-03
None,Sheffield Weds,ENG,1,1557.60266113,1953-04-04,1953-04-04
None,Sheffield Weds,ENG,1,1550.50305176,1953-04-05,1953-04-06
None,Sheffield Weds,ENG,1,1548.90637207,1953-04-07,1953-04-11
None,Sheffield Weds,ENG,1,1547.61657715,1953-04-12,1953-04-18
None,Sheffield Weds,ENG,1,1544.17248535,1953-04-19,1953-04-19
None,Sheffield Weds,ENG,1,1534.17248535,1953-04-20,1953-04-25
None,Sheffield Weds,ENG,1,1546.22265625,1953-04-26,1953-05-15
None,Sheffield Weds,ENG,1,1539.22265625,1953-05-16,1953-05-18
None,Sheffield Weds,ENG,1,1545.22265625,1953-05-19,1953-05-25
None,Sheffield Weds,ENG,1,1552.22265625,1953-05-26,1953-06-02
None,Sheffield Weds,ENG,1,1543.22265625,1953-06-03,1953-06-09
None,Sheffield Weds,ENG,1,1549.22265625,1953-06-10,1953-08-19
None,Sheffield Weds,ENG,1,1556.36035156,1953-08-20,1953-08-22
None,Sheffield Weds,ENG,1,1563.71716309,1953-08-23,1953-08-26
None,Sheffield Weds,ENG,1,1557.73840332,1953-08-27,1953-08-29
None,Sheffield Weds,ENG,1,1552.15161133,1953-08-30,1953-09-02
None,Sheffield Weds,ENG,1,1563.86181641,1953-09-03,1953-09-05
None,Sheffield Weds,ENG,1,1555.00866699,1953-09-06,1953-09-07
None,Sheffield Weds,ENG,1,1564.26708984,1953-09-08,1953-09-09
None,Sheffield Weds,ENG,1,1560.37719727,1953-09-10,1953-09-12
None,Sheffield Weds,ENG,1,1553.3671875,1953-09-13,1953-09-16
None,Sheffield Weds,ENG,1,1559.4597168,1953-09-17,1953-09-19
None,Sheffield Weds,ENG,1,1550.80847168,1953-09-20,1953-09-23
None,Sheffield Weds,ENG,1,1559.8137207,1953-09-24,1953-09-26
None,Sheffield Weds,ENG,1,1553.29919434,1953-09-27,1953-10-03
None,Sheffield Weds,ENG,1,1555.69458008,1953-10-04,1953-10-10
None,Sheffield Weds,ENG,1,1561.8425293,1953-10-11,1953-10-11
None,Sheffield Weds,ENG,1,1582.8425293,1953-10-12,1953-10-17
None,Sheffield Weds,ENG,1,1594.72387695,1953-10-18,1953-10-24
None,Sheffield Weds,ENG,1,1591.66064453,1953-10-25,1953-10-31
None,Sheffield Weds,ENG,1,1586.95788574,1953-11-01,1953-11-14
None,Sheffield Weds,ENG,1,1583.93811035,1953-11-15,1953-11-21
None,Sheffield Weds,ENG,1,1580.92834473,1953-11-22,1953-11-28
None,Sheffield Weds,ENG,1,1558.28808594,1953-11-29,1953-12-05
None,Sheffield Weds,ENG,1,1563.55712891,1953-12-06,1953-12-12
None,Sheffield Weds,ENG,1,1558.39257812,1953-12-13,1953-12-19
None,Sheffield Weds,ENG,1,1553.58959961,1953-12-20,1953-12-25
None,Sheffield Weds,ENG,1,1548.63977051,1953-12-26,1953-12-26
None,Sheffield Weds,ENG,1,1541.11535645,1953-12-27,1954-01-02
None,Sheffield Weds,ENG,1,1552.50439453,1954-01-03,1954-01-16
None,Sheffield Weds,ENG,1,1547.67651367,1954-01-17,1954-01-23
None,Sheffield Weds,ENG,1,1551.91711426,1954-01-24,1954-02-06
None,Sheffield Weds,ENG,1,1558.78503418,1954-02-07,1954-02-13
