Season,Date,HomeTeam,AwayTeam,ResultEncoded,Bet365HomeWinOddsPercentage,Bet365DrawOddsPercentage,Bet365AwayWinOddsPercentage,OddsFavourHome,OddsFavourDraw,OddsFavourAway,OddsDifference_HvA,OddsDifference_HvD,OddsDifference_AvD
2020,21/12/2020,Burnley,Wolves,1,0.2726406101048618,0.2936129647283127,0.43374642516682554,0,0,1,1.2999999999999998,0.25,-1.0499999999999998
2020,21/12/2020,Chelsea,West Ham,1,0.6585879873551107,0.1896733403582719,0.15173867228661753,1,0,0,-4.8100000000000005,-3.56,1.25
2020,26/12/2020,Leicester,Man United,0,0.32611264277274515,0.26270185112248917,0.4111855061047657,0,0,1,0.6000000000000001,-0.7000000000000002,-1.3000000000000003
2020,26/12/2020,Aston Villa,Crystal Palace,1,0.4983388704318937,0.25249169435215946,0.24916943521594684,1,0,0,-1.9,-1.85,0.04999999999999982
2020,26/12/2020,Fulham,Southampton,0,0.29753038024304196,0.28851430811446493,0.4139553116424932,0,0,1,0.9000000000000004,-0.09999999999999964,-1.0
2020,26/12/2020,Arsenal,Chelsea,1,0.23717059639389737,0.2635228848821082,0.49930651872399445,0,0,1,2.1,0.3999999999999999,-1.7000000000000002
2020,26/12/2020,Man City,Newcastle,1,0.8551239929789819,0.094918763220667,0.049957243800351055,1,0,0,-17.89,-8.89,9.0
2020,26/12/2020,Sheffield United,Everton,-1,0.2253807106598985,0.2629441624365483,0.5116751269035533,0,0,1,2.35,0.6000000000000001,-1.75
2020,27/12/2020,Leeds,Burnley,1,0.5472768867149485,0.2353290612874278,0.21739405199762382,1,0,0,-2.6100000000000003,-2.2800000000000002,0.33000000000000007
2020,27/12/2020,West Ham,Brighton,0,0.41349548842683415,0.2797175362887407,0.3067869752844253,1,0,0,-0.8000000000000003,-1.1,-0.2999999999999998
2020,27/12/2020,Liverpool,West Brom,0,0.8551239929789819,0.094918763220667,0.049957243800351055,1,0,0,-17.89,-8.89,9.0
2020,27/12/2020,Wolves,Tottenham,0,0.2644026109166588,0.29287673824614513,0.4427206508371961,0,0,1,1.4500000000000002,0.3500000000000001,-1.1
2020,28/12/2020,Crystal Palace,Leicester,0,0.25339366515837103,0.27149321266968324,0.4751131221719457,0,0,1,1.75,0.25,-1.5
2020,28/12/2020,Chelsea,Aston Villa,0,0.5863956215793589,0.2247849882720876,0.1888193901485536,1,0,0,-3.3899999999999997,-2.59,0.7999999999999998
2020,29/12/2020,Brighton,Arsenal,-1,0.2936129647283127,0.2726406101048618,0.43374642516682554,0,0,1,1.0499999999999998,-0.25,-1.2999999999999998
2020,29/12/2020,Burnley,Sheffield United,1,0.4010030050349261,0.3065732651396048,0.2924237298254692,1,0,0,-0.8799999999999999,-0.73,0.1499999999999999
2020,29/12/2020,Southampton,West Ham,0,0.45434298440979953,0.2650334075723831,0.2806236080178174,1,0,0,-1.2999999999999998,-1.5,-0.20000000000000018
2020,29/12/2020,West Brom,Leeds,-1,0.2631578947368421,0.2631578947368421,0.47368421052631576,0,0,1,1.6,0.0,-1.6
2020,29/12/2020,Man United,Wolves,1,0.621470932916652,0.22639298270535177,0.1521360843779964,1,0,0,-4.72,-2.67,2.05
2020,30/12/2020,Newcastle,Liverpool,0,0.07936507936507936,0.15873015873015872,0.7619047619047619,0,0,1,10.75,6.0,-4.75
2020,01/01/2021,Everton,West Ham,-1,0.4545454545454546,0.27272727272727276,0.27272727272727276,1,0,0,-1.4,-1.4,0.0
2020,01/01/2021,Man United,Aston Villa,1,0.549738219895288,0.225130890052356,0.225130890052356,1,0,0,-2.4800000000000004,-2.4800000000000004,0.0
2020,02/01/2021,Tottenham,Leeds,1,0.5424476295479603,0.23153252480705624,0.22601984564498345,1,0,0,-2.45,-2.3499999999999996,0.10000000000000053
